IN_DRAM, IN_CACHE, ns_TO_FLUSH, cycles_TO_FLUSH
0, 32768, 166496266458491687, 747763947178907
512, 32256, 166496266458520550, 747763947268188
1024, 31744, 166496266458549266, 747763947356986
1536, 31232, 166496266458578580, 747763947447645
2048, 30720, 166496266458607804, 747763947538034
2560, 30208, 166496266458637309, 747763947629274
3072, 29696, 166496266458667061, 747763947721295
3584, 29184, 166496266458697240, 747763947814635
4096, 28672, 166496266458727663, 747763947908719
4608, 28160, 166496266458758917, 747763948005394
5120, 27648, 166496266458789926, 747763948101296
5632, 27136, 166496266458821434, 747763948198737
6144, 26624, 166496266458853078, 747763948296583
6656, 26112, 166496266458884898, 747763948395006
7168, 25600, 166496266458917340, 747763948495359
7680, 25088, 166496266458950301, 747763948597263
8192, 24576, 166496266458983132, 747763948698824
8704, 24064, 166496266459016494, 747763948802011
9216, 23552, 166496266459049967, 747763948905514
9728, 23040, 166496266459083601, 747763949009541
10240, 22528, 166496266459117861, 747763949115503
10752, 22016, 166496266459152000, 747763949220993
11264, 21504, 166496266459186934, 747763949329084
11776, 20992, 166496266459222092, 747763949437845
12288, 20480, 166496266459257365, 747763949546938
12800, 19968, 166496266459293035, 747763949657262
13312, 19456, 166496266459328878, 747763949768107
13824, 18944, 166496266459365083, 747763949880092
14336, 18432, 166496266459401999, 747763949994240
14848, 17920, 166496266459438920, 747763950108449
15360, 17408, 166496266459476104, 747763950223436
15872, 16896, 166496266459513703, 747763950339739
16384, 16384, 166496266459551486, 747763950456574
16896, 15872, 166496266459589556, 747763950574308
17408, 15360, 166496266459628232, 747763950693934
17920, 14848, 166496266459666952, 747763950813670
18432, 14336, 166496266459705982, 747763950934404
18944, 13824, 166496266459745172, 747763951055577
19456, 13312, 166496266459784707, 747763951177854
19968, 12800, 166496266459824770, 747763951301763
20480, 12288, 166496266459865160, 747763951426670
20992, 11776, 166496266459905899, 747763951552665
21504, 11264, 166496266459946786, 747763951679124
22016, 10752, 166496266459987786, 747763951805922
22528, 10240, 166496266460029454, 747763951934802
23040, 9728, 166496266460097566, 747763952145436
23552, 9216, 166496266460139309, 747763952274444
24064, 8704, 166496266460181889, 747763952406159
24576, 8192, 166496266460224791, 747763952538896
25088, 7680, 166496266460267643, 747763952671434
25600, 7168, 166496266460310995, 747763952805513
26112, 6656, 166496266460354551, 747763952940225
26624, 6144, 166496266460398531, 747763953076250
27136, 5632, 166496266460442934, 747763953213566
27648, 5120, 166496266460487510, 747763953351415
28160, 4608, 166496266460532452, 747763953490419
28672, 4096, 166496266460577541, 747763953629867
29184, 3584, 166496266460623095, 747763953770766
29696, 3072, 166496266460668723, 747763953911875
30208, 2560, 166496266460715272, 747763954055834
30720, 2048, 166496266460761702, 747763954199420
31232, 1536, 166496266460808481, 747763954344099
31744, 1024, 166496266460855439, 747763954489318
32256, 512, 166496266460902872, 747763954636028
32768, 0, 166496266460950364, 747763954782802
